intervencionId,codigoSitio,NombreSitio,NombreProyecto,Nombre,Apellido,nombreCorto,EMG,Region,ICD,CasoSigo,estadoSigo,fechaRFPSIGO,fechaRFISIGO,fechaRFASIGO,fechaRFTSIGO,fechaOASIGO,contratista,Latitud,Longitud,ALM,ManoObra,Vendor,EstadoIM,subEstado,FechaEstadoIM,fechaRFPSIM,fechaRFISIM,fechaRFASIM,fechaRFTSIM,fechaOASIM,FechaIntegracionProgramada
21403,A03-S053,Cordoba Alvear,5G BAFI,Sin Asignar,Sin Asignar,Sin Asignar,XCALVE,MEDI,,ISM-9729,OA,2020-12-09 15:24:00,2020-12-21 10:52:00,2020-12-21 11:30:59,2021-01-26 09:36:59,2021-02-12 16:50:00,,-31.4166,-64.1811,A03,Proveedor,Huawei,OA,OA Completado,2021-02-12 16:45:11,2020-12-10 17:52:35,2020-12-21 11:28:43,2021-01-26 09:21:25,2021-01-26 09:22:17,2021-02-12 16:45:11,
21922,CPU751,Nextel Plaza de Mayo,5G BAFI,Sin Asignar,Sin Asignar,Sin Asignar,CNXPDM,AMBA,,ISM-12346,OA,2021-03-09 08:50:00,2021-03-09 10:36:00,2021-03-09 11:46:00,2021-03-12 11:33:59,2021-03-15 12:29:59,,-34.6078,-58.3726,CPU,Proveedor,Huawei,OA,OA Completado,2021-03-15 12:17:09,2021-03-03 17:07:31,2021-03-03 17:08:24,2021-03-10 11:15:16,2021-03-12 09:39:34,2021-03-15 12:17:09,
22383,CPU203,Chacabuco,5G BAFI,Sin Asignar,Sin Asignar,Sin Asignar,CUCO,AMBA,,ISM-13789,OA,2021-03-15 08:48:00,2021-03-15 09:18:00,2021-03-15 09:20:59,2021-03-15 11:53:59,2021-03-15 12:29:00,,-34.6089,-58.3757,CPU,Proveedor,Huawei,OA,OA Completado,2021-03-15 12:22:55,2021-03-15 11:48:42,2021-03-15 11:49:18,2021-03-15 11:49:50,2021-03-15 11:50:17,2021-03-15 12:22:55,
