intervencionId,codigoSitio,NombreSitio,NombreProyecto,Nombre,Apellido,nombreCorto,EMG,Region,ICD,CasoSigo,estadoSigo,fechaRFPSIGO,fechaRFISIGO,fechaRFASIGO,fechaRFTSIGO,fechaOASIGO,contratista,Latitud,Longitud,ALM,ManoObra,Vendor,EstadoIM,subEstado,FechaEstadoIM,fechaRFPSIM,fechaRFISIM,fechaRFASIM,fechaRFTSIM,fechaOASIM,FechaIntegracionProgramada
21673,A41-B271,Mar Del Plata Los Troncos,AmpliacionBW20Mhz_LTE1900,Sin Asignar,Sin Asignar,Sin Asignar,BMPTRO,SUR,,,,,,,,,,-38.027,-57.5341,A41,MOP,Huawei,OA,OA Completado,2021-01-28 14:34:52,,2021-01-28 14:28:36,2021-01-28 14:29:14,2021-01-28 14:29:38,2021-01-28 14:34:52,
21680,A41-B328,Mar del Plata micro Hermitage,AmpliacionBW20Mhz_LTE1900,Sin Asignar,Sin Asignar,Sin Asignar,BMPHMT,SUR,,,,,,,,,,-38.0084,-57.5383,A41,MOP,Huawei,OA,OA Completado,2021-02-03 16:39:17,,2021-01-28 14:35:42,2021-01-28 14:36:10,2021-01-28 14:36:28,2021-02-03 16:39:17,
21681,SID_022,Comercial Mar Del Plata,AmpliacionBW20Mhz_LTE1900,Sin Asignar,Sin Asignar,Sin Asignar,BMPMIC,SUR,,,,,,,,,,-38.0002,-57.5489,SID,MOP,Huawei,OA,OA Completado,2021-02-03 16:39:39,,2021-01-28 14:36:55,2021-01-28 14:37:27,2021-01-28 14:37:50,2021-02-03 16:39:39,
21682,A41-B056,Mar del Plata micro Sheraton,AmpliacionBW20Mhz_LTE1900,Sin Asignar,Sin Asignar,Sin Asignar,BMPSHT,SUR,,,,,,,,,,-38.0316,-57.5382,A41,MOP,Huawei,OA,OA Completado,2021-02-03 16:39:25,,2021-01-28 14:38:16,2021-01-28 14:38:43,2021-01-28 14:39:06,2021-02-03 16:39:25,
