intervencionId|codigoSitio|NombreProyecto|ICD|DESCRIPCION|estadoSigo|Vendor|EstadoIM|subEstado|FechaEstadoIM|fechaRFISIM|fechaRFASIM|fechaRFTSIM|fechaOASIM|TT|status|schedstart|schedfinish|actstart|actfinish|check_icd
24667|A19-S007|NB_IOT||/A19-S007 Refarming |OA|Nokia|OA|OA Completado|2021-08-27 15:18:03|2021-08-26 10:45:21|2021-08-26 10:45:26|2021-08-26 10:45:31|2021-08-27 15:18:03|5726088|CLOSE|2021-08-26 09:09:00|2021-08-26 18:00:00|2021-08-26 09:33:00|2021-08-26 17:33:00|False
24727|A19-S137|NB_IOT||/A19-S137	Piray KM 18 	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-08-23 08:12:01|2021-08-17 10:35:12|2021-08-17 10:35:20|2021-08-17 10:35:26|2021-08-23 08:12:01|5533565|CLOSE|2021-08-12 08:00:00|2021-08-12 18:00:00|2021-08-12 08:02:00|2021-08-14 17:01:00|False
24813|A04-S012|NB_IOT||/A04-S012 |OA|Nokia|OA|OA Completado|2021-05-05 12:23:23|2021-05-03 11:48:00|2021-05-03 11:48:05|2021-05-03 11:48:10|2021-05-05 12:23:23|4364962|CLOSE|2021-05-13 14:15:00|2021-05-13 20:00:00|2021-05-13 14:52:00|2021-09-09 11:44:00|False
24829|A04-S037|NB_IOT||/A04-S037	CARRIZALES	Bateria Litio Lote 3 |OA|Nokia|OA|OA Completado|2021-07-05 12:36:13|2021-07-05 12:21:07|2021-07-05 12:35:17|2021-07-05 12:35:21|2021-07-05 12:36:13|5006551|CLOSE|2021-06-29 08:00:00|2021-06-29 18:00:00|2021-06-29 08:12:00|2021-06-29 16:35:00|False
24855|A04-S133|NB_IOT||/A04-S133	Amenabar	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-05-14 16:45:48|2021-05-13 08:28:37|2021-05-13 08:28:42|2021-05-13 08:28:47|2021-05-14 16:45:48|4336005|CLOSE|2021-05-12 08:00:00|2021-05-12 18:00:00|2021-05-12 19:52:00|2021-05-12 19:52:00|False
24923|A04-S720|NB_IOT||/Vuelco RDBS A04-S274 y A04-S720 |OA|Nokia|OA|OA Completado|2021-07-05 12:39:32|2021-07-05 12:38:31|2021-07-05 12:38:36|2021-07-05 12:38:41|2021-07-05 12:39:32|4904567|CLOSE|2021-06-22 14:00:00|2021-06-22 16:00:00|2021-06-22 14:10:00|2021-06-22 16:38:00|False
24893|A04-S307|NB_IOT||/A04-S307	BUSTINZA	Bateria Litio Lote 3 |OA|Nokia|OA|OA Completado|2021-07-06 09:38:19|2021-07-05 12:52:52|2021-07-05 12:53:09|2021-07-06 09:34:19|2021-07-06 09:38:19|5105387|CLOSE|2021-07-06 08:00:00|2021-07-06 18:00:00|2021-07-06 08:06:00|2021-07-21 19:36:00|False
24923|A04-S720|NB_IOT||/A04-S720	LAS TROJAS	Bateria Litio Lote 3 |OA|Nokia|OA|OA Completado|2021-07-05 12:39:32|2021-07-05 12:38:31|2021-07-05 12:38:36|2021-07-05 12:38:41|2021-07-05 12:39:32|5223433|CLOSE|2021-07-16 08:00:00|2021-07-16 18:00:00|2021-07-16 08:07:00|2021-07-16 15:07:00|False
24975|A07-S007|NB_IOT||/A07-S007	Laguna Paiva	Bateria Litio Lote 3 |OA|Nokia|OA|OA Completado|2021-07-07 15:52:05|2021-07-06 08:14:17|2021-07-06 08:14:34|2021-07-06 08:14:41|2021-07-07 15:52:05|5104901|CLOSE|2021-07-06 08:00:00|2021-07-06 18:00:00|2021-07-06 08:06:00|2021-07-26 16:06:00|False
24985|A07-S018|NB_IOT||/A07-S018	Alejandra	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-09-10 15:54:49|2021-09-08 16:07:33|2021-09-10 14:29:35|2021-09-10 14:29:43|2021-09-10 15:54:49|5874272|CLOSE|2021-09-09 08:00:00|2021-09-09 19:00:00|2021-09-07 10:01:00|2021-09-28 18:47:00|False
24994|A07-S029|NB_IOT||/A07-S029	San Gustavo	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-08-20 15:17:18|2021-08-12 15:59:42|2021-08-12 15:59:47|2021-08-12 15:59:51|2021-08-20 15:17:18|5561133|CLOSE|2021-08-12 08:00:00|2021-08-12 18:00:00|2021-08-11 11:02:00|2021-08-12 19:32:00|False
25101|A07-S211|NB_IOT||/A07-S211	Paraná Instituto Del Seguro	4T4R + 2600 |OA|Nokia|OA|OA Completado|2021-10-07 14:53:27|2021-10-01 17:32:44|2021-10-07 14:52:14|2021-10-07 14:52:21|2021-10-07 14:53:27|6210718|CLOSE|2021-09-29 11:50:00|2021-10-03 20:00:00|2021-09-29 12:02:00|2021-10-01 16:50:00|False
25195|A08-S021|NB_IOT||/A08-S021	Puerto Yerua	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-08-20 15:32:38|2021-08-19 17:08:19|2021-08-19 17:08:24|2021-08-19 17:08:30|2021-08-20 15:32:38|5803008|CLOSE|2021-09-02 08:00:00|2021-09-02 19:00:00|2021-09-02 08:12:00|2021-09-03 15:31:00|False
25206|A08-S033|NB_IOT||/A08-S033 - Pedernal |OA|Nokia|OA|OA Completado|2021-08-20 15:44:07|2021-08-19 17:09:45|2021-08-19 17:09:50|2021-08-19 17:09:55|2021-08-20 15:44:07|5698162|CLOSE|2021-08-24 09:30:00|2021-08-24 20:00:00|2021-08-24 09:33:00|2021-08-24 19:03:00|False
25218|A08-S046|NB_IOT||/A08-S046	Miñone	Bateria Litio Lote 3 |OA|Nokia|OA|OA Completado|2021-09-03 14:45:00|2021-08-31 09:21:23|2021-08-31 09:21:28|2021-08-31 09:21:33|2021-09-03 14:45:00|5643414|CLOSE|2021-08-19 08:12:00|2021-08-19 18:00:00|2021-08-19 08:31:00|2021-08-19 14:02:00|False
25219|A08-S047|NB_IOT||/A08-S047	Calabacillas	Refarming (Plan) |OA|Nokia|OA|OA Completado|2021-08-20 15:28:13|2021-08-19 11:14:19|2021-08-19 11:14:27|2021-08-19 11:14:39|2021-08-20 15:28:13|5636010|CLOSE|2021-08-19 08:00:00|2021-08-19 18:00:00|2021-08-19 08:03:00|2021-08-19 17:01:00|False
28700|A39-B046|NB_IOT||/A39-B046 ||Huawei|OA|OA Completado|2021-10-20 10:45:07|2021-10-19 10:28:28|2021-10-19 10:28:28|2021-10-20 10:44:23|2021-10-20 10:45:07|6466469|CLOSE|2021-10-19 09:00:00|2021-10-19 18:00:00|2021-10-19 13:58:00|2021-10-19 18:49:00|False
28700|A39-B046|NB_IOT||/A39-B046 ||Huawei|OA|OA Completado|2021-10-20 10:45:07|2021-10-19 10:28:28|2021-10-19 10:28:28|2021-10-20 10:44:23|2021-10-20 10:45:07|6560523|CLOSE|2021-10-26 09:00:00|2021-10-26 18:00:00|2021-10-26 09:19:00|2021-10-27 10:52:00|False
