intervencionId,codigoSitio,NombreSitio,NombreProyecto,Nombre,Apellido,nombreCorto,EMG,Region,ICD,CasoSigo,estadoSigo,fechaRFPSIGO,fechaRFISIGO,fechaRFASIGO,fechaRFTSIGO,fechaOASIGO,contratista,Latitud,Longitud,ALM,ManoObra,Vendor,EstadoIM,subEstado,FechaEstadoIM,fechaRFPSIM,fechaRFISIM,fechaRFASIM,fechaRFTSIM,fechaOASIM,FechaIntegracionProgramada
27824,A21-S031,Salta Arenales,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,ACAREN,MEDI,6346402,ISM-14499,OA,2021-10-26 17:03:00,2021-10-26 17:03:00,2021-10-26 17:12:59,2021-10-26 17:15:00,2021-10-26 17:15:00,,-24.8322,-65.3943,A21,MOP,Huawei,OA,OA Completado,2021-10-26 10:43:45,2021-10-21 16:33:42,2021-10-21 16:57:50,2021-10-21 17:06:05,2021-10-26 10:40:54,2021-10-26 10:43:45,
27825,A21-S037,Cerrillos Rep.,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,ACERRI,MEDI,6599834,ISM-13898,OA,2021-11-01 14:57:59,2021-11-01 14:57:59,2021-11-01 15:00:00,2021-11-01 15:00:59,2021-11-01 15:00:59,,-24.9017,-65.4819,A21,MOP,Huawei,OA,OA Completado,2021-11-01 14:50:40,2021-11-01 14:47:36,2021-11-01 14:47:50,2021-11-01 14:49:03,2021-11-01 14:49:47,2021-11-01 14:50:40,
27827,A21-S397,Salta Centro Civico,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,ACIVIC,MEDI,6483020,ISM-14502,OA,2021-10-26 17:06:00,2021-10-26 17:06:00,2021-10-28 14:55:00,2021-10-28 14:55:59,2021-10-28 14:55:59,,-24.7831,-65.451,A21,MOP,Huawei,OA,OA Completado,2021-10-28 14:46:41,2021-10-25 12:03:40,2021-10-28 14:43:09,2021-10-28 14:45:28,2021-10-28 14:46:13,2021-10-28 14:46:41,
27830,OPU082,Churruca,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,OCHU,AMBA,6495758,ISM-14458,OA,2021-10-21 18:44:00,2021-10-21 18:44:00,2021-10-25 17:44:00,2021-10-25 17:44:00,2021-10-28 11:55:59,,-34.5611,-58.6058,OPU,MOP,Huawei,OA,OA Completado,2021-10-28 11:42:10,2021-10-21 18:41:22,2021-10-21 18:41:30,2021-10-21 18:44:34,2021-10-25 17:30:51,2021-10-28 11:42:10,
27832,OPU424,Cementerio Parque Bosque Del Recuerdo,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,OCBR,AMBA,6706950,ISM-13856,RFT,2021-11-05 18:33:00,2021-11-05 18:33:00,2021-11-05 19:45:59,2021-11-05 19:45:59,,,-34.536,-58.5899,OPU,MOP,Huawei,RFT,RFT nuevo ingreso,2021-11-05 19:31:34,2021-11-05 10:39:58,2021-11-05 10:40:05,2021-11-05 19:28:53,2021-11-05 19:31:34,,
27837,A03-S466,Cordoba Angelelli,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,XCANGE,MEDI,6346361,ISM-15915,OA,2021-10-25 13:34:59,2021-10-25 13:34:59,2021-10-26 22:12:59,2021-10-26 22:14:00,2021-10-28 15:17:00,,-31.5097,-64.2113,A03,MOP,Huawei,OA,OA Completado,2021-10-28 15:06:10,2021-10-21 13:41:54,2021-10-21 13:42:06,2021-10-21 13:45:02,2021-10-26 22:01:20,2021-10-28 15:06:10,
27848,CPU222,Ciudad Oculta,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,CCIO,AMBA,,ISM-16009,OA,2021-11-09 13:18:00,2021-11-09 13:18:00,2021-11-10 17:46:59,2021-11-11 17:44:59,2021-11-12 11:03:59,,-34.6701,-58.4887,CPU,MOP,Huawei,OA,OA Completado,2021-11-12 10:49:50,2021-11-10 17:30:13,2021-11-10 17:30:30,2021-11-10 17:32:10,2021-11-12 10:48:22,2021-11-12 10:49:50,
27857,A14-S017,Santa Lucia,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,WSTLUC,LITO,,ISM-13867,OA,2021-08-03 10:45:59,2021-08-03 10:45:59,2021-08-03 20:10:59,2021-08-03 20:10:59,2021-08-18 18:42:00,,-28.9888,-59.1018,A14,MOP,Nokia,OA,OA Completado,2021-09-06 08:42:44,2021-09-06 08:36:50,2021-09-06 08:37:01,2021-09-06 08:38:47,2021-09-06 08:39:49,2021-09-06 08:42:44,
27859,A22-S018,El Colorado,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,PCLRDO,LITO,5740717,ISM-13873,OA,2021-09-03 09:20:59,2021-09-03 09:20:59,2021-09-03 10:39:59,2021-09-03 10:41:59,2021-09-14 09:38:00,,-26.3069,-59.3697,A22,MOP,Nokia,OA,OA Completado,2021-09-14 09:21:42,2021-09-02 17:53:55,2021-09-02 17:54:07,2021-09-02 22:23:44,2021-09-02 22:30:03,2021-09-14 09:21:42,
27864,A07-S024,San Justo,4T4R,Sin Asignar,Sin Asignar,Sin Asignar,ZSJUST,LITO,ISM-15920,ISM-15920,OA,2021-11-03 14:39:00,2021-11-03 14:39:00,2021-11-03 14:42:59,2021-11-03 16:27:00,2021-11-09 10:29:00,,-30.7897,-60.5892,A07,MOP,Nokia,OA,OA Completado,2021-11-09 10:20:38,2021-11-03 16:14:52,2021-11-03 16:15:08,2021-11-03 16:16:58,2021-11-03 16:18:06,2021-11-09 10:20:38,
